thickness,twc,snowpack_index,06H,06V,10H,10V,19H,19V,37H,37V,01H,01V,thickness_dup,twc_dup,effective_permittivity_19,effective_permittivity_06
0.5,0.26,13,207.42259746075146,237.5783358418386,228.83129785342703,248.28876225227467,245.97890987336314,259.3237496528678,255.58490088631007,266.3139495104607,132.85187658169474,196.58514358356854,0.5,0.26,,
0.5,0.28,14,210.37335561953108,239.09078899758543,231.42476883610715,249.8642771086085,247.49003638298035,260.2526531364301,256.462883722866,266.98859395748707,133.38553571096386,196.86014414085938,0.5,0.28,,
0.5,0.3,15,213.11225250037648,240.51137739620762,233.61355616885962,251.12470083059065,248.936172742573,261.28350528727583,257.1881285792157,267.55187411674746,133.90602650595932,197.11822288244335,0.5,0.3,,
0.5,0.32,16,215.6345698206295,241.8250156387655,235.6527172999197,252.39561128772607,250.15989871845946,262.1675495424913,257.4156136174976,267.5784112785203,134.4252698803129,197.37903531742162,0.5,0.32,,
0.5,0.34,17,217.59270292247285,242.5207265443197,237.46056589573482,253.53506787902865,251.1972440380768,262.9274588030513,257.9551148703921,268.0240650750463,134.93845421073803,197.63742657179824,0.5,0.34,,
0.5,0.36,18,219.76804965037505,243.68685200696825,239.06464283376502,254.5576854202939,251.84666860064922,263.27424181073343,258.4065160346569,268.40176963196154,135.4623681300691,197.91368846071987,0.5,0.36,,
0.5,0.38,19,221.7829142399124,244.77631243822302,240.30203890356026,255.21694228787925,252.61703750943732,263.8681634712983,258.78508836688275,268.7225930196053,135.9724730113999,198.17500546676558,0.5,0.38,,
0.5,0.4,20,223.65030672760034,245.79497191139694,241.58513816080116,256.06656516985646,253.27505071526,264.3836644566352,259.1030025270126,268.99522084942157,136.47842183780787,198.43329850263774,0.5,0.4,,
0.5,0.42,21,225.38378613540334,246.7500602882708,242.63246194536208,256.70294059024974,253.83831584843543,264.8322618483954,259.3691040733881,269.2252001773978,136.9770544739245,198.68634599115032,0.5,0.42,,
0.5,0.44,22,226.98862675856796,247.64121634606468,243.65189666622354,257.39775599622396,254.3215660919636,265.22367575571866,259.5822176682936,269.40342028059086,137.46673285522286,198.92580778342176,0.5,0.44,,
0.5,0.46,23,228.47776739508905,248.47584067294065,244.47194618945525,257.9033873505773,254.54547635172557,265.3145122231352,259.8195235965071,269.6406768321188,137.96007274997976,199.17704942106738,0.5,0.46,,
0.5,0.48,24,229.85760504610323,249.25439772082385,245.29037713028657,258.4806784834178,254.92081030092365,265.63800155957756,259.98661510074714,269.7938612612039,138.45010745745228,199.42817941683097,0.5,0.48,,
