snowpack,06H,06V,10H,10V,19H,19V,37H,37V,twc,sp,weights
3206,185.6955743277226,256.5117402657311,196.0634190886329,255.87337881736505,210.51883140088455,257.8961645392439,224.97284555897676,261.5962762726865,15.0,106,5
3207,181.4226910355346,253.82882462268387,192.02893319950707,253.4832093516018,207.83467242249847,256.2322388429486,223.2856167098309,260.3109833885113,16.666666666666668,106,5
3208,177.42688676584348,251.34235259303952,188.5409574542966,251.59624929673453,204.48473632215004,254.10045964310734,221.59313354630063,258.9217167321452,18.333333333333336,106,5
3209,173.69691689972146,249.86827513937192,185.09291231559843,248.79581391210246,201.5342908538378,251.5987451165137,219.90356633431392,257.4489151938715,20.0,106,5
3210,173.91240779765127,208.21431803486416,180.30935550366277,212.9543106592452,190.85180454981045,219.7178111061781,206.5651501448329,232.43832725433367,0.0,107,7
3211,192.2646068334662,223.56129223045502,205.27123895953716,234.36644103879792,218.26164626021196,244.91613392034085,228.06783336303056,253.52189201152166,0.1,107,7
3212,204.2271396277867,233.93867256849745,217.91766384590244,245.56883436269874,229.34507524182249,255.4035733536663,235.56470606791578,260.9305394685671,0.2,107,7
3213,212.1093332761034,241.05344974188927,224.7469151776048,251.96327408336646,233.37200521970482,259.3530396653125,237.48141855218313,262.9024701598597,0.30000000000000004,107,7
3214,217.2671093478866,246.22170674195067,228.20070328800165,255.6042637509147,235.22366393866642,261.36719355304723,238.7220136748844,264.27502010569424,0.4,107,7
3215,220.72305795531173,249.70766646015966,230.105560741743,257.7512699609438,236.02307235404052,262.39672259222067,238.70882638264266,264.4021310022726,0.5,107,7
3216,223.1328995642182,252.3258402059636,231.13951185733933,259.10553125601587,236.09192608369108,262.6962969395819,238.79801768794113,264.6391456111487,0.6000000000000001,107,7
3217,224.78818740454312,254.2938480185838,231.6832958318752,260.0066221488962,236.13129318845853,263.1340484396868,238.84093786728866,264.82946954706273,0.7000000000000001,107,7
3218,225.8902824641476,255.7683171147061,231.94976627943507,260.6446747294963,236.18717087670868,263.44986893566903,238.5833583116338,264.7169395609876,0.8,107,7
3219,226.67575322395595,256.9720730378106,232.05289539149257,261.122331996399,236.01440431515823,263.51795081726215,238.5063646683031,264.77981723777333,0.9,107,7
3220,227.20481940242115,257.94308630530975,231.9458916365863,261.3774704668822,235.84180601671284,263.581269541026,238.46251201881748,264.877986843778,1.0,107,7
3221,227.68225264977025,260.45602947107443,231.40756028979612,262.4013554746192,235.6659781740334,264.3353939319325,238.63580243685527,265.74580261887706,1.4,107,7
3222,227.1178982484,261.8139991945801,230.66987811573398,263.04676353909747,235.51655623816987,265.0233360643197,238.28117375927636,265.938420279018,1.8,107,7
3223,226.1921224488578,262.66860579915453,230.30817176387126,264.02807450142154,234.94996676363627,265.33626869571,237.86955220295215,266.04723379949735,2.2,107,7
3224,224.9265763320873,263.13996102275667,229.66180626762392,264.71217891762853,234.41948489725715,265.55969134860544,237.4630913823738,266.135638270006,2.6,107,7
3225,223.69281904797063,263.4936683930025,228.90511532711852,265.1152379909482,233.8944553735218,265.73087099568284,237.06798882850893,266.2109651389546,3.0,107,7
3226,222.43015989813523,263.8258508394725,227.9624754894893,265.3406960876991,233.30386167223335,265.84652513658676,236.68371043001503,266.27387089739466,3.4000000000000004,107,7
3227,221.28752667700616,264.2518827940627,227.06362994505255,265.4813191854379,232.74934881683808,265.92683675896865,236.21006566640278,266.31452594732286,3.8000000000000003,107,7
3228,220.3121335555677,264.70056744147956,226.06679712377573,265.5221164685307,232.21295897671536,265.968975564051,235.83077728702767,266.35044247431404,4.2,107,7
3229,219.15851488896757,264.9275794292603,225.0760297600453,265.49921582003117,231.6179089389854,265.9592481020413,235.462756416086,266.3730363736872,4.6,107,7
3230,217.9411662051266,265.01343424034184,224.1149945367622,265.4294240262363,231.05489193426686,265.91913301743284,235.10240416017558,266.38184395155093,5.0,107,7
3231,212.6566683512131,264.4858852983552,219.95138083002098,264.5806170920555,228.58998008693436,265.3545559075429,233.548176334713,266.25093477200704,6.666666666666667,107,7
3232,205.2494890642693,263.7058368818268,215.31662888023178,262.54421846246595,225.40668746044477,263.6263692164141,232.01581775521896,265.86935548380484,8.333333333333334,107,7
3233,199.71406710325707,262.03615139282994,208.15129200336412,261.699852310856,222.77762954744082,262.1874872418656,230.46649517262858,265.25234149604756,10.0,107,7
3234,194.8182643750992,260.30185680746274,204.10757495654732,260.1493747765214,220.1020848011471,260.4516252249901,228.22961948929083,263.7340173480179,11.666666666666668,107,7
3235,189.97732438345344,258.06339936706013,199.61490492569067,257.8705989978016,217.4434083207228,258.51840489214624,226.60155361328347,262.73992066668876,13.333333333333334,107,7
3236,185.68378345755332,256.5057739141849,196.0504444274526,255.86823790591663,210.50256219434277,257.89104576671326,224.95155420886047,261.59145762635166,15.0,107,7
3237,181.41207455437376,253.82329107906673,192.01622937791467,253.47902793664736,207.81945377749386,256.22841909260075,223.26533280346868,260.30665046678735,16.666666666666668,107,7
3238,177.41677526851745,251.3376125275865,188.53034968212046,251.59138362962526,204.46961731765768,254.09755470570838,221.57350578466446,258.9177092842021,18.333333333333336,107,7
3239,173.68642689417288,249.8650802557064,185.08299928972616,248.79133865348237,201.52155782890046,251.59484863997534,219.88484105504384,257.44533154985504,20.0,107,7
3240,172.75166485194765,206.8557914154025,180.32011894726338,212.96669298543455,190.85180454981045,219.7178111061781,206.5651501448329,232.43832725433367,0.0,108,16
3241,191.46264315943145,222.62399258549883,205.2725907924857,234.36798845162832,218.26164626021196,244.91613392034085,228.06783336303056,253.52189201152166,0.1,108,16
3242,203.67784734519125,233.29743035265253,217.91766384590244,245.56883436269874,229.34507524182249,255.4035733536663,235.56470606791578,260.9305394685671,0.2,108,16
3243,211.7803763907901,240.6695040963855,224.7469151776048,251.96327408336646,233.37200521970482,259.3530396653125,237.48141855218313,262.9024701598597,0.30000000000000004,108,16
3244,216.98753899499508,245.89779713625273,228.20070328800165,255.6042637509147,235.22366393866642,261.36719355304723,238.7220136748844,264.27502010569424,0.4,108,16
3245,220.66553385510275,249.63990624811123,230.105560741743,257.7512699609438,236.02307235404052,262.39672259222067,238.70882638264266,264.4021310022726,0.5,108,16
3246,223.19548741837542,252.3960277710768,231.13951185733933,259.10553125601587,236.09192608369108,262.6962969395819,238.79801768794113,264.6391456111487,0.6000000000000001,108,16
3247,224.77856048175732,254.28152390018164,231.6832958318752,260.0066221488962,236.13129318845853,263.1340484396868,238.84093786728866,264.82946954706273,0.7000000000000001,108,16
3248,225.96744172323872,255.85520401230647,231.94976627943507,260.6446747294963,236.18717087670868,263.44986893566903,238.5833583116338,264.7169395609876,0.8,108,16
3249,226.78161726085168,257.0917305846721,232.05289539149257,261.122331996399,236.01440431515823,263.51795081726215,238.5063646683031,264.77981723777333,0.9,108,16
3250,227.31147740922162,258.06369654070585,231.9458916365863,261.3774704668822,235.84180601671284,263.581269541026,238.46251201881748,264.877986843778,1.0,108,16
3251,227.70585472574427,260.4823891742607,231.40756028979612,262.4013554746192,235.6659781740334,264.3353939319325,238.63580243685527,265.74580261887706,1.4,108,16
3252,227.20227267540753,261.9094453697972,230.66987811573398,263.04676353909747,235.51655623816987,265.0233360643197,238.28117375927636,265.938420279018,1.8,108,16
3253,226.14595882713198,262.61590438665223,230.30817176387126,264.02807450142154,234.94996676363627,265.33626869571,237.86955220295215,266.04723379949735,2.2,108,16
3254,224.9265763320873,263.13996102275667,229.66180626762392,264.71217891762853,234.41948489725715,265.55969134860544,237.4630913823738,266.135638270006,2.6,108,16
3255,223.69281904797063,263.4936683930025,228.90511532711852,265.1152379909482,233.8944553735218,265.73087099568284,237.06798882850893,266.2109651389546,3.0,108,16
